Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1574,"D Lakens","Equivalence Tests: A Practical Primer for t Tests, Correlations, and Meta-Analyses",2017,"Social psychological and personality science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617697177","https://scholar.google.com/scholar?cites=12695008052016109424&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-09-25 10:59:19","","10.1177/1948550617697177","","",,,,,1574,262.33,1574,1,6,"Scientists should be able to provide support for the absence of a meaningful effect. Currently, researchers often incorrectly conclude an effect is absent based a nonsignificant …","https://journals.sagepub.com/doi/full/10.1177/1948550617697177","https://scholar.google.com/scholar?q=related:cNck8Y-6LbAJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
1017,"AM Schoemann, AJ Boulton…","Determining power and sample size for simple and complex mediation models",2017,"… and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617715068","https://scholar.google.com/scholar?cites=16753370682126802190&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-09-25 10:59:19","","10.1177/1948550617715068","","",,,,,1017,169.50,339,3,6,"Mediation analyses abound in social and personality psychology. Current recommendations for assessing power and sample size in mediation models include using a Monte Carlo …","","https://scholar.google.com/scholar?q=related:Dp2cSt_tf-gJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
632,"JK Flake, J Pek, E Hehman","Construct validation in social and personality research: Current practice and recommendations",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617693063","https://scholar.google.com/scholar?cites=6422367731725161486&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-09-25 10:59:19","","10.1177/1948550617693063","","",,,,,632,105.33,211,3,6,"The verity of results about a psychological construct hinges on the validity of its measurement, making construct validation a fundamental methodology to the scientific …","https://www2.psych.ubc.ca/~schaller/528Readings/FlakePekHeyman2017.pdf","https://scholar.google.com/scholar?q=related:DtRowmzVIFkJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
321,"JM Adler, WL Dunlop, R Fivush…","Research methods for studying narrative identity: A primer",2017,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617698202","https://scholar.google.com/scholar?cites=11982472881179997417&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-09-25 10:59:19","","10.1177/1948550617698202","","",,,,,321,53.50,80,4,6,"This article provides a primer for researchers seeking an introduction to quantitative narrative research methods. It represents a consensus document of most common practices …","https://psyarxiv.com/cz3q3/download?format=pdf","https://scholar.google.com/scholar?q=related:6TR8fZlLSqYJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
276,"JJ Chandler, G Paolacci","Lie for a dime: When most prescreening responses are honest but most study participants are impostors",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617698203","https://scholar.google.com/scholar?cites=2921576553276649800&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-09-25 10:59:19","","10.1177/1948550617698203","","",,,,,276,46.00,138,2,6,"The Internet has enabled recruitment of large samples with specific characteristics. However, when researchers rely on participant self-report to determine eligibility, data …","https://www.researchgate.net/profile/Travis-Ray/post/Suggestions-for-collecting-high-quality-Mturk-data/attachment/5f4584625dcc010001cd2dc7/AS%3A928534960824320%401598391394247/download/Chandler+%26+Paolacci%2C+2017.pdf","https://scholar.google.com/scholar?q=related:SDEqYmWGiygJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
195,"M Milyavskaya, M Inzlicht","What's so great about self-control? Examining the importance of effortful self-control and temptation in predicting real-life depletion and goal attainment",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616679237","https://scholar.google.com/scholar?cites=6990039039498376579&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-09-25 10:59:19","","10.1177/1948550616679237","","",,,,,195,32.50,98,2,6,"Self-control is typically viewed as a key ingredient responsible for effective self-regulation and personal goal attainment. This study used experience sampling, daily diary, and …","http://michaelinzlicht.com/s/whats-so-great-about-self-control.pdf","https://scholar.google.com/scholar?q=related:g9Vpu3ibAWEJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
187,"TD Stanley","Limitations of PET-PEESE and other meta-analysis methods",2017,"Social Psychological and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617693062","https://scholar.google.com/scholar?cites=17274363709133139244&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-09-25 10:59:19","","10.1177/1948550617693062","","",,,,,187,31.17,187,1,6,"A novel meta-regression method, precision-effect test and precision-effect estimate with standard errors (PET-PEESE), predicts and explains recent high-profile failures to replicate …","https://www.hendrix.edu/uploadedFiles/Departments_and_Programs/Business_and_Economics/AMAES/Limitations%20of%20PET-PEESE.pdf","https://scholar.google.com/scholar?q=related:LK3HG0Xeuu8J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
185,"MV Day, ST Fiske","Movin'on up? How perceptions of social mobility affect our willingness to defend the system",2017,"… Psychological and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616678454","https://scholar.google.com/scholar?cites=15011317524112752747&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-09-25 10:59:19","","10.1177/1948550616678454","","",,,,,185,30.83,93,2,6,"People's motivation to rationalize and defend the status quo is a major barrier to societal change. Three studies tested whether perceived social mobility—beliefs about the likelihood …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371776/","https://scholar.google.com/scholar?q=related:a0BWO8HpUtAJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
170,"NJL Brown, JAJ Heathers","The GRIM test: A simple technique detects numerous anomalies in the reporting of results in psychology",2017,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550616673876","https://scholar.google.com/scholar?cites=9922312915928100094&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-09-25 10:59:19","","10.1177/1948550616673876","","",,,,,170,28.33,85,2,6,"We present a simple mathematical technique that we call granularity-related inconsistency of means (GRIM) for verifying the summary statistics of research reports in psychology. This …","http://www2.psych.purdue.edu/~gfrancis/Classes/PSY392/BrownHeathers2016.pdf","https://scholar.google.com/scholar?q=related:_iwqwAYjs4kJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
172,"D Wood, PD Harms, GH Lowman…","Response speed and response consistency as mutually validating indicators of data quality in online samples",2017,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617703168","https://scholar.google.com/scholar?cites=7969974209369540348&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-09-25 10:59:19","","10.1177/1948550617703168","","",,,,,172,28.67,43,4,6,"We examine the appropriateness of response speed and response consistency as data quality indicators within online samples. Across several inventories, results show that …","","https://scholar.google.com/scholar?q=related:_AZ_ElEJm24J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
