Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
277,"CS Crandall, JM Miller…","Changing norms following the 2016 US presidential election: The Trump effect on prejudice",2018,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617750735","https://scholar.google.com/scholar?cites=1905849787622225976&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-09-25 13:09:19","","10.1177/1948550617750735","","",,,,,277,55.40,92,3,5,"The 2016 presidential election was characterized by the remarkable expression of prejudice toward a range of groups. In two closely related studies (N= 388; 196 supporting Trump, 192 …","https://www.centenary.edu/files/resources/2018-sept-jc-zunick.pdf","https://scholar.google.com/scholar?q=related:OPh5wkjwchoJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
277,"E Hehman, JK Flake…","Disproportionate use of lethal force in policing is associated with regional racial biases of residents",2018,"Social psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617711229","https://scholar.google.com/scholar?cites=14286445221109218983&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-09-25 13:09:19","","10.1177/1948550617711229","","",,,,,277,55.40,92,3,5,"Due to a lack of data, the demographic and psychological factors associated with lethal force by police officers have remained insufficiently explored. We develop the first predictive …","https://journals.sagepub.com/doi/full/10.1177/1948550617711229","https://scholar.google.com/scholar?q=related:p75KWzymQ8YJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
215,"M Marchlewska, A Cichocka…","Populism as identity politics: Perceived in-group disadvantage, collective narcissism, and support for populism",2018,"… Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617732393","https://scholar.google.com/scholar?cites=4998231943110418735&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-09-25 13:09:19","","10.1177/1948550617732393","","",,,,,215,43.00,72,3,5,"Populists combine anti-elitism with a conviction that they hold a superior vision of what it means to be a true citizen of their nation. We expected support for populism to be associated …","https://kar.kent.ac.uk/63401/1/Marchlewska%20et%20al.%20%282017%29%20Populism%20as%20identity%20politics.pdf","https://scholar.google.com/scholar?q=related:L2EbcnhJXUUJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
188,"AN Washburn, LJ Skitka","Science denial across the political divide: Liberals and conservatives are similarly motivated to deny attitude-inconsistent science",2018,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617731500","https://scholar.google.com/scholar?cites=13472322514597748521&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-09-25 13:09:19","","10.1177/1948550617731500","","",,,,,188,37.60,94,2,5,"We tested whether conservatives and liberals are similarly or differentially likely to deny scientific claims that conflict with their preferred conclusions. Participants were randomly …","https://indigo.uic.edu/ndownloader/files/27463043","https://scholar.google.com/scholar?q=related:KZ8YlvJN97oJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
151,"E Glikson, A Cheshin, GA Kleef","The dark side of a smiley: Effects of smiling emoticons on virtual first impressions",2018,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617720269","https://scholar.google.com/scholar?cites=9143560276843943347&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-09-25 13:09:19","","10.1177/1948550617720269","","",,,,,151,30.20,50,3,5,"First impressions are heavily influenced by emotional expressions such as smiles. In face-to-face contact, smiling individuals are perceived as warmer and as more competent than …","https://pure.uva.nl/ws/files/30232658/1948550617720269.pdf","https://scholar.google.com/scholar?q=related:s9Wni6Bz5H4J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
131,"WM Gervais, MB Najle","How many atheists are there?",2018,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617707015","https://scholar.google.com/scholar?cites=9051702151360449204&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-09-25 13:09:19","","10.1177/1948550617707015","","",,,,,131,26.20,66,2,5,"One crucible for theories of religion is their ability to predict and explain the patterns of belief and disbelief. Yet, religious nonbelief is often heavily stigmatized, potentially leading many …","https://psyarxiv.com/edzda/download?format=pdf","https://scholar.google.com/scholar?q=related:tIp6ECYbnn0J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
129,"TM Mandalaywala, DM Amodio…","Essentialism promotes racial prejudice by increasing endorsement of social hierarchies",2018,"Social Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617707020","https://scholar.google.com/scholar?cites=2158075195854916539&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-09-25 13:09:19","","10.1177/1948550617707020","","",,,,,129,25.80,43,3,5,"Why do essentialist beliefs promote prejudice? We proposed that essentialist beliefs increase prejudice toward Black people because they imply that existing social hierarchies …","https://journals.sagepub.com/doi/full/10.1177/1948550617707020","https://scholar.google.com/scholar?q=related:u4uD5_QF8x0J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
118,"PJ Ehret, L Van Boven…","Partisan barriers to bipartisanship: Understanding climate policy polarization",2018,"Social Psychological and …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550618758709","https://scholar.google.com/scholar?cites=13577946866339183116&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-09-25 13:09:19","","10.1177/1948550618758709","","",,,,,118,23.60,39,3,5,"Everyday partisans evaluate policies partly by following partisan cues, fomenting polarization. However, there is debate over the influence of partisan cues in “real-world,” …","https://journals.sagepub.com/doi/full/10.1177/1948550618758709","https://scholar.google.com/scholar?q=related:DHpGY7yObrwJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
117,"JR Axt","The best way to measure explicit racial attitudes is to ask about them",2018,"Social Psychological and Personality Science","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550617728995","https://scholar.google.com/scholar?cites=17964639739862840414&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-09-25 13:09:19","","10.1177/1948550617728995","","",,,,,117,23.40,117,1,5,"Direct assessments of explicit racial attitudes, such as reporting an overt preference for White versus Black people, may raise social desirability concerns and reduce measurement …","https://www.miclab.ca/s/the-best-way-to-measure-explicit-racial-attitudes-is-to-ask-about-them.pdf","https://scholar.google.com/scholar?q=related:XvRjpKk4T_kJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
106,"ED Knowles, LR Tropp","The racial and economic context of Trump support: Evidence for threat, identity, and contact effects in the 2016 Presidential Election",2018,"… Psychological and Personality …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/1948550618759326","https://scholar.google.com/scholar?cites=17723958019605567187&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-09-25 13:09:19","","10.1177/1948550618759326","","",,,,,106,21.20,53,2,5,"Donald Trump's ascent to the Presidency of the United States defied the expectations of many social scientists, pundits, and laypeople. To date, most efforts to understand Trump's …","https://osf.io/vxh4z/download","https://scholar.google.com/scholar?q=related:05aGzOkl-PUJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
