Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
268,"BT Rutjens, RM Sutton…","Not all skepticism is equal: Exploring the ideological antecedents of science acceptance and rejection",2018,"… and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217741314","https://scholar.google.com/scholar?cites=16492482157247625375&as_sdt=2005&sciodt=0,5&hl=en",1,"2023-09-25 13:50:15","","10.1177/0146167217741314","","",,,,,268,53.60,89,3,5,"Many topics that scientists investigate speak to people's ideological worldviews. We report three studies—including an analysis of large-scale survey data—in which we systematically …","https://journals.sagepub.com/doi/full/10.1177/0146167217741314","https://scholar.google.com/scholar?q=related:n3g2HyQR4eQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
209,"TT Nguyen, RM Ryan, EL Deci","Solitude as an approach to affective self-regulation",2018,"… social psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217733073","https://scholar.google.com/scholar?cites=4764232662580457571&as_sdt=2005&sciodt=0,5&hl=en",2,"2023-09-25 13:50:15","","10.1177/0146167217733073","","",,,,,209,41.80,70,3,5,"In this research, we showed that solitude generally has a deactivation effect on people's affective experiences, decreasing both positive and negative high-arousal affects. In Study …","https://acuresearchbank.acu.edu.au/download/7b624e4cc7b2051fafba9496eb0f29f1a5f3f61c9b5b80e1654a9546bbf017c2/604886/AM_Nguyen_2018_Solitude_as_an_approach_to_affective.pdf","https://scholar.google.com/scholar?q=related:Y_BrWF30HUIJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
200,"JE Pachankis, ML Hatzenbuehler…","The burden of stigma on health and well-being: A taxonomy of concealment, course, disruptiveness, aesthetics, origin, and peril across 93 stigmas",2018,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217741313","https://scholar.google.com/scholar?cites=8316627916590643386&as_sdt=2005&sciodt=0,5&hl=en",3,"2023-09-25 13:50:15","","10.1177/0146167217741313","","",,,,,200,40.00,67,3,5,"Most individuals are stigmatized at some point. However, research often examines stigmas separately, thus underestimating the overall impact of stigma and precluding comparisons …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5837924/","https://scholar.google.com/scholar?q=related:unh72QaZanMJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
189,"J Sawyer, A Gampa","Implicit and explicit racial attitudes changed during Black Lives Matter",2018,"Personality and Social Psychology …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218757454","https://scholar.google.com/scholar?cites=459509146579022388&as_sdt=2005&sciodt=0,5&hl=en",4,"2023-09-25 13:50:15","","10.1177/0146167218757454","","",,,,,189,37.80,95,2,5,"Lab-based interventions have been ineffective in changing individuals' implicit racial attitudes for more than brief durations, and exposure to high-status Black exemplars like …","https://journals.sagepub.com/doi/full/10.1177/0146167218757454","https://scholar.google.com/scholar?q=related:NLLiXCKBYAYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
168,"Y Hasson, M Tamir, KS Brahms…","Are liberals and conservatives equally motivated to feel empathy toward others?",2018,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218769867","https://scholar.google.com/scholar?cites=6484603709283399540&as_sdt=2005&sciodt=0,5&hl=en",5,"2023-09-25 13:50:15","","10.1177/0146167218769867","","",,,,,168,33.60,42,4,5,"Do liberals and conservatives differ in their empathy toward others? This question has been difficult to resolve due to methodological constraints and common use of ideologically …","https://www.researchgate.net/profile/Yossi-Hasson/publication/325045483_Are_Liberals_and_Conservatives_Equally_Motivated_to_Feel_Empathy_Toward_Others/links/5b966dc3a6fdccfd543a429f/Are-Liberals-and-Conservatives-Equally-Motivated-to-Feel-Empathy-Toward-Others.pdf","https://scholar.google.com/scholar?q=related:dHcEebfw_VkJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
133,"CAM Sutherland, X Liu, L Zhang…","Facial first impressions across culture: Data-driven modeling of Chinese and British perceivers' unconstrained facial impressions",2018,"… psychology bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217744194","https://scholar.google.com/scholar?cites=1186085591406928333&as_sdt=2005&sciodt=0,5&hl=en",6,"2023-09-25 13:50:15","","10.1177/0146167217744194","","",,,,,133,26.60,33,4,5,"People form first impressions from facial appearance rapidly, and these impressions can have considerable social and economic consequences. Three dimensions can explain …","https://eprints.whiterose.ac.uk/123808/1/Sutherland_2017_PSPB_manuscript_final.pdf","https://scholar.google.com/scholar?q=related:zeEErY_SdRAJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
129,"A Gelman","The failure of null hypothesis significance testing when studying incremental changes, and what to do about it",2018,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167217729162","https://scholar.google.com/scholar?cites=17644258197338854599&as_sdt=2005&sciodt=0,5&hl=en",7,"2023-09-25 13:50:15","","10.1177/0146167217729162","","",,,,,129,25.80,129,1,5,"A standard mode of inference in social and behavioral science is to establish stylized facts using statistical significance in quantitative studies. However, in a world in which …","http://www.stat.columbia.edu/~gelman/research/published/incrementalism_3.pdf","https://scholar.google.com/scholar?q=related:xxSo4Vj_3PQJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
129,"S Vargas-Salfate, D Paez, JH Liu…","A comparison of social dominance theory and system justification: The role of social status in 19 nations",2018,"… Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218757455","https://scholar.google.com/scholar?cites=15452599621914631074&as_sdt=2005&sciodt=0,5&hl=en",8,"2023-09-25 13:50:15","","10.1177/0146167218757455","","",,,,,129,25.80,32,4,5,"This study tests specific competing hypotheses from social dominance theory/realistic conflict theory (RCT) versus system justification theory about the role of social status. In …","http://www.homerogdz.com/documents/Vargas,%20Paez,%20Liu,%20Pratto%20&%20Gil%20de%20Zuniga%20(2018)%20Personality%20and%20Social%20Psychology%20Bulletin.pdf","https://scholar.google.com/scholar?q=related:opuOGHypctYJ:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
117,"R Imhoff, P Lamberty, O Klein","Using power as a negative cue: How conspiracy mentality affects epistemic trust in sources of historical knowledge",2018,"… Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218768779","https://scholar.google.com/scholar?cites=14976033095285181759&as_sdt=2005&sciodt=0,5&hl=en",9,"2023-09-25 13:50:15","","10.1177/0146167218768779","","",,,,,117,23.40,39,3,5,"Classical theories of attitude change point to the positive effect of source expertise on perceived source credibility persuasion, but there is an ongoing societal debate on the …","https://www.researchgate.net/profile/Roland-Imhoff/publication/324898708_Using_Power_as_a_Negative_Cue_How_Conspiracy_Mentality_Affects_Epistemic_Trust_in_Sources_of_Historical_Knowledge/links/5af09814458515c28371876e/Using-Power-as-a-Negative-Cue-How-Conspiracy-Mentality-Affects-Epistemic-Trust-in-Sources-of-Historical-Knowledge.pdf","https://scholar.google.com/scholar?q=related:P4339MCO1c8J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
110,"TF Pettigrew","The emergence of contextual social psychology",2018,"Personality and Social Psychology Bulletin","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0146167218756033","https://scholar.google.com/scholar?cites=17150542631660978011&as_sdt=2005&sciodt=0,5&hl=en",10,"2023-09-25 13:50:15","","10.1177/0146167218756033","","",,,,,110,22.00,110,1,5,"Social psychology experiences recurring so-called “crises.” This article maintains that these episodes actually mark advances in the discipline; these “crises” have enhanced relevance …","http://www.craiganderson.org/wp-content/uploads/caa/Classes/~SupplementalReadings/History-Crises/18Pettigrew-ContextualSP.pdf","https://scholar.google.com/scholar?q=related:W39Y8af3Au4J:scholar.google.com/&scioq=source:%22personality+and+social+psychology+bulletin%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
